timestamp,channel_index,channel,setpoint,actual,error,command,kp,ki,kd,output_on,control_enabled,dry_run,armed,pid_enabled,status,interlocked,ok,message
1785208344.524189,0,TC1,100.000000,52.499299,47.500701,52.941042,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208344.649902,0,TC1,100.000000,52.723800,47.276200,53.058513,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208344.777206,0,TC1,100.000000,52.881387,47.118613,53.232543,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208344.903180,0,TC1,100.000000,53.020359,46.979641,53.419204,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208345.043758,0,TC1,100.000000,53.204654,46.795346,53.598775,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208345.169756,0,TC1,100.000000,53.359822,46.640178,53.770427,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208345.295286,0,TC1,100.000000,53.551744,46.448256,53.908324,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208345.421920,0,TC1,100.000000,53.691946,46.308054,54.089227,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208345.549926,0,TC1,100.000000,53.878656,46.121344,54.233012,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208345.691182,0,TC1,100.000000,54.044281,45.955719,54.425921,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208345.817099,0,TC1,100.000000,54.193842,45.806158,54.593672,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208345.945092,0,TC1,100.000000,54.381972,45.618028,54.735923,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208346.072108,0,TC1,100.000000,54.522265,45.477735,54.911827,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208346.197438,0,TC1,100.000000,54.704436,45.295564,55.052103,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208346.324639,0,TC1,100.000000,54.867941,45.132059,55.208239,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208346.451623,0,TC1,100.000000,55.002627,44.997373,55.386438,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208346.577650,0,TC1,100.000000,55.181984,44.818016,55.525272,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208346.689624,0,TC1,100.000000,55.317929,44.682071,55.664887,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208346.814631,0,TC1,100.000000,55.436016,44.563984,55.850649,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208346.955727,0,TC1,100.000000,55.645944,44.354056,55.995470,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208347.084623,0,TC1,100.000000,55.811229,44.188771,56.146309,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208347.211727,0,TC1,100.000000,55.927429,44.072571,56.335381,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208347.335910,0,TC1,100.000000,56.133361,43.866639,56.442795,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208347.464392,0,TC1,100.000000,56.240303,43.759697,56.636564,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208347.593950,0,TC1,100.000000,56.427095,43.572905,56.765990,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208347.732282,0,TC1,100.000000,56.598299,43.401701,56.932631,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208347.873672,0,TC1,100.000000,56.712700,43.287300,57.146988,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208347.997755,0,TC1,100.000000,56.932648,43.067352,57.240338,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208348.136757,0,TC1,100.000000,57.086233,42.913767,57.415509,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208348.279634,0,TC1,100.000000,57.240864,42.759136,57.597315,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208348.420779,0,TC1,100.000000,57.362763,42.637237,57.800789,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208348.547186,0,TC1,100.000000,57.585449,42.414551,57.890754,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208348.658921,0,TC1,100.000000,57.691137,42.308863,58.042518,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208348.800590,0,TC1,100.000000,57.869303,42.130697,58.196931,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208348.927200,0,TC1,100.000000,58.022105,41.977895,58.339988,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208349.053652,0,TC1,100.000000,58.148341,41.851659,58.505487,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208349.194644,0,TC1,100.000000,58.315230,41.684770,58.665796,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208349.319900,0,TC1,100.000000,58.451087,41.548913,58.817311,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208349.447894,0,TC1,100.000000,58.623149,41.376851,58.942893,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208349.574396,0,TC1,100.000000,58.732503,41.267497,59.116427,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208349.700348,0,TC1,100.000000,58.928065,41.071935,59.219019,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208349.826844,0,TC1,100.000000,59.065193,40.934807,59.369805,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208349.952585,0,TC1,100.000000,59.183602,40.816398,59.530187,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208350.091722,0,TC1,100.000000,59.344927,40.655073,59.685312,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208350.218071,0,TC1,100.000000,59.476429,40.523571,59.834428,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208350.345394,0,TC1,100.000000,59.645014,40.354986,59.956512,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208350.487332,0,TC1,100.000000,59.803651,40.196349,60.114796,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208350.613491,0,TC1,100.000000,59.910715,40.089285,60.281923,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208350.738487,0,TC1,100.000000,60.098028,39.901972,60.381754,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208350.865064,0,TC1,100.000000,60.196043,39.803957,60.556886,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208350.992991,0,TC1,100.000000,60.365628,39.634372,60.672889,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208351.119617,0,TC1,100.000000,60.486776,39.513224,60.826693,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208351.244071,0,TC1,100.000000,60.645489,39.354511,60.945739,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208351.372308,0,TC1,100.000000,60.764122,39.235878,61.100887,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208351.498241,0,TC1,100.000000,60.921614,39.078386,61.220862,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208351.623743,0,TC1,100.000000,61.024315,38.975685,61.385070,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208351.735736,0,TC1,100.000000,61.209385,38.790615,61.454143,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
1785208351.861978,0,TC1,100.000000,61.293324,38.706676,61.631514,0.800000,0.050000,0.000000,True,True,False,True,True,Ready,False,True,Safety checks passed
